AddedSqFt,AddressDescription,AppliedDate,COIssuedDate,CompletedDate,Description,EstProjectCost,EstProjectCostDEC,EstProjectCostText,ExpiresDate,Fee,HoldDate,IssuedDate,LastUpdated,Link,MasterPermitNum,NumberOfBathrooms,NumberOfBedrooms,NumberOfUnits,OriginalAddress1,OriginalAddress2,OriginalCity,OriginalState,OriginalZip,PIN,PermitClass,PermitClassMapped,PermitNum,PermitType,PermitTypeDesc,PermitTypeMapped,ProjectID,ProjectName,ProposedUsed,Publisher,StatusCurrent,StatusCurrentMapped,StatusDate,TotalAccSqFt,TotalFinishedSqFt,TotalHeatedSqFt,TotalSqFt,TotalUnHeatedSqFt,TotalUnfinishedSqFt,Units,VoidDate,WorkClass,WorkClassMapped,_id
,001110,2025-04-03,,2025-04-16,Remove old shingles roof and install new roof 4/12,0.0,0.0,0.0,2026-04-16,181.43,,2025-04-03,2025-04-19,https://aca.tampagov.net/citizenaccess/,,,,,3613 Lindell Ave  ,,Tampa,FL,33610,1929084N0000005000050A,Residential,Residential,BTR-25-0604999,Residential Roof Trade Permit,,Roof,,3613 Lindell Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-16,,,,,,,,,,,80414
,001110,2025-04-03,,2025-04-09,HVAC CHANGEOUT,0.0,0.0,0.0,2026-04-09,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,8916 Magnolia Chase Cir  ,,Tampa,FL,33647,192713235000001000080A,Residential,Residential,BTR-25-0605000,Residential Mechanical Trade Permit,,Mechanical,,8916 Magnolia Chase Cir (ACA),,TAMPA,Complete,Permit Finaled,2025-04-09,,,,,,,,,,,80415
,001110,2025-04-03,,2025-04-04,"Site plan for work:
Replace both HVAC handlers and condensers, add elevated stands.
Replace existing water heater.
Replace interior electric sub panel with arc fault breakers. Replace all plugs and switches. Replace all electrical line on the ground floor only
Seal penetrations w/ fire blocker. Insulate exterior walls with FiFoil insulation. Sister any damaged studs. Add 2 layers ½” drywall up to 4ft on ground floor. Replace 3 exterior impact doors: 2 french and 1 single (FL253.6)
Paint interior and exterior of home.
Replace cabinets and toilets in 3 bathrooms. Replace cabinet in laundry room. Replace cabinets and countertops in kitchen with new sinks, fixtures, hardware.
Replace tile floors in kitchen and pantry, nail down hardwood floors in rest of ground floor of home. 
No work performed on the second floor.",0.0,0.0,0.0,,0.0,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,4628 Browning Ave W ,,Tampa,FL,33629,1829323T7000003000140A,Site Plan Review,,SPR-25-0001547,Site Plan Review,,Other,,Site Plan Review,,TAMPA,Withdrawn,Permit Cancelled,2025-04-04,,,,,,,,,,,80416
,001110,2025-04-03,,2025-05-28,"Re-Roof.  30 squares of shingles.  TAMKO, FL18355-R12.  Peel and Stick Underlayment, APOC FL 26482-R9.",0.0,0.0,0.0,2026-05-28,181.43,,2025-04-03,2025-05-29,https://aca.tampagov.net/citizenaccess/,,,,,3110 Chapin Ave W ,,Tampa,FL,33611,1830033VE000000000030A,Residential,Residential,BTR-25-0605004,Residential Roof Trade Permit,,Roof,,3110 W Chapin Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-28,,,,,,,,,,,80417
,001100,2025-04-03,,2025-05-09,Replace garage door using FBC approved drawings,0.0,0.0,0.0,2026-05-09,124.0,,2025-04-03,2025-05-11,https://aca.tampagov.net/citizenaccess/,,,,,4831 Bay Villa Ave W ,,Tampa,FL,33611,1830053X4000003000040A,Residential,Residential,BTR-25-0605008,Residential Building Trade Permit,,Building,,4831 W Bay Villa Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-09,,,,,,,,,,,80418
,001110,2025-04-03,,,"36” Laurel Oak(backyard)
-remove by cutting to a low stump.
-overly mature Laurel Oak. This tree currently has broken branches lodged in canopy, resting on other branches directly over playground of daycare.

14-Day Public Noticing has been verified and accepted for:

Per Tree Evaluation comments from City of Tampa Forest Examiner, Dylan Bacon on 04/07/2025:
“>32” Laurel Oak in rear of property meets the criteria under the City of Tampa code for removal and is accepted after a notification period to inform all properties within 300ft of the tree coming down. The instructions will be emailed to you. Once completed, informed citizens have 14 days to contest the removal of the grand tree. After this 14-day period, a permit will be issued which will be good for 6 months. Mitigation required.

Mitigation: (7) Type 1, 2.5"" caliper, 8-10ft tall, 30gal, Florida Grade 1 trees planted on property or paid into Tree trust fund (at $300 per tree) in any combination that adds up to (7)”

Please advise how your client would like to resolve mitigation requirements.

**Permit is to be released on 04/24/2025**",0.0,0.0,0.0,2025-10-14,159.0,,2025-04-17,2025-04-19,https://aca.tampagov.net/citizenaccess/,,,,,2505 Carmen St W ,,Tampa,FL,33609,1829224IF000007000220A,,,TRE-25-0000645,Tree Removal and Pruning Permit,,Other,,Tree Removal: Laurel Oak (Grand),,TAMPA,Awaiting Client Reply,Other,2025-04-17,,,,,,,,,,,80419
,001110,2025-04-03,,,Demolition of Existing Home and Driveway,0.0,0.0,0.0,2025-10-27,201.93,,2025-04-14,2025-04-26,https://aca.tampagov.net/citizenaccess/,,,,,3403 Lightner Dr S ,,Tampa,FL,33629,1829323TN000004000020A,Residential,Residential,BDE-25-0444528,Residential Demolition Permit,,Demolition,,Demo of SFR,,TAMPA,Issued,Permit Issued,2025-04-14,,,,1364,,,1,,,,80420
,001110,2025-04-03,2025-05-27,2025-05-27,Replace rotted beam at 2nd story lanai edge,0.0,0.0,0.0,2025-11-26,395.79,,2025-04-23,2025-05-28,https://aca.tampagov.net/citizenaccess/,,3.5,4,,20411 Walnut Grove Ln  ,,Tampa,FL,33647,19270280F000002000100A,Residential,Residential,BLD-25-0515080,Residential Building Alterations (Renovations),,Building,,Exterior Alteration: Replace Damaged Beam,,TAMPA,Complete,Permit Finaled,2025-05-27,,,,100,,,,,,,80421
,001110,2025-04-03,,2025-04-03,Commercial Permit Extension,0.0,0.0,0.0,,61.0,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,1914 Waters Ave W ,,Tampa,FL,33604,,Commercial,Non-Residential,BLDEXT-25-0000874,Commercial Permit Extension,,Other,,1914 W Waters Ave,,TAMPA,Complete,Permit Finaled,2025-04-03,,,,,,,,,,,80422
,001110,2025-04-03,,,"4-ton 17 seer Heat Pump (split)
AHRI#215429801",0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,3315 Knights Ave W ,,Tampa,FL,33611,1830033W2000006000210A,Residential,Residential,BTR-25-0605015,Residential Mechanical Trade Permit,,Mechanical,,3315 W Knights Ave (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80423
